inefficiencies
Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Author name,Cloud provider,Cloud service,Inefficiency Type,Service Category,Explanation,Relevant Billing Model,Detection,Remediation,Relevant Documentation,Show on popular,Show on community picks,Intro text,Definition ID,Example Cost Savings,CER:
Misaligned S3 Storage Tier Selection Based on Access Patterns,misaligned-s3-storage-tier-selection-based-on-access-patterns,682077b786159f81bf47f152,682077b786159f81bf47f0b2,68589418db0f8dcba0ecf2af,FALSE,FALSE,Sun Jun 22 2025 23:39:04 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:53 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:53 GMT+0000 (Coordinated Universal Time),John Webb,aws,aws-s3,misconfigured-storage-tier,storage,"<p id="""">While moving objects to colder storage classes like Glacier or Infrequent Access (IA) can reduce storage costs, premature transitions without analyzing historical access patterns can lead to unintended expenses. Retrieval charges, restore time delays, and early delete penalties often go unaccounted for in simplistic tiering decisions. This inefficiency arises when teams default to colder tiers based solely on perceived “age” of data or storage savings—without confirming access frequency, restore time SLAs, or application requirements.  Unlike inefficiencies focused on *underuse* of cold storage, this inefficiency reflects *overuse* or misalignment, resulting in higher total costs or operational friction.</p>","<p id="""">S3 is billed by storage class, with additional charges for data retrieval, API requests, and minimum storage durations in cold tiers. While cold storage (e.g., Glacier, Infrequent Access) offers lower per-GB storage pricing, retrieval costs and minimum duration charges can outweigh savings if access patterns are not well understood or if data is accessed frequently or unpredictably.</p>","<ul id=""""><li id="""">Review historical access patterns for S3 buckets before applying lifecycle transitions to colder storage classes</li><li id="""">Evaluate whether buckets or prefixes in IA or Glacier tiers are being accessed more frequently than expected</li><li id="""">Check for retrieval operations, restore requests, or early delete penalties that may offset storage savings</li><li id="""">Assess whether application SLAs or workloads are sensitive to Glacier restore latency</li><li id="""">Identify transitions that occur uniformly across all objects without regard to access variability</li></ul>","<ul id=""""><li id="""">Use S3 Storage Lens or CUR data to analyze per-object or per-prefix access frequency before applying lifecycle transitions</li><li id="""">Apply intelligent-tiering selectively where access patterns are unpredictable</li><li id="""">Avoid bulk transitions to IA or Glacier for data with unclear or variable access characteristics</li><li id="""">Regularly audit lifecycle policies and revise based on actual usage patterns</li><li id="""">Educate teams on the full cost model of cold storage (e.g., retrieval fees, early deletion penalties, restore time delays)</li></ul>","<p id=""""><a href=""https://docs.aws.amazon.com/AmazonS3/latest/userguide/storage-class-intro.html"" id="""">Amazon S3 Storage Classes</a><br><a href=""https://docs.aws.amazon.com/AmazonS3/latest/userguide/lifecycle-configuration-examples.html"" id="""">S3 Lifecycle Configuration</a><br><a href=""https://aws.amazon.com/s3/pricing/"" id="""">S3 Pricing</a></p>",FALSE,FALSE,,,,<p>AWS-Storage-2410</p>
Missing Auto-Termination Policy for Databricks Clusters,missing-auto-termination-policy-for-databricks-clusters,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b495394d0355a79a5db,FALSE,FALSE,Thu May 22 2025 14:57:13 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:46 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:46 GMT+0000 (Coordinated Universal Time),Jason Eckle,databricks,databricks-clusters,missing-safeguard,compute,"<p id="""">In many environments, users launch Databricks clusters for development or analysis and forget to shut them down after use. When no auto-termination policy is configured, these clusters remain active indefinitely, incurring unnecessary charges for both Databricks and cloud infrastructure usage. This inefficiency is especially common in interactive clusters that are user-managed, ephemeral, or exploratory in nature. While Databricks provides built-in support for cluster auto-termination, teams often overlook it unless it's enforced through workspace policies. Without this safeguard in place, idle clusters can persist unnoticed for hours or days, leading to avoidable cost.</p>","<p id="""">Databricks clusters accrue cost per second through:</p><ul id=""""><li id="""">Databricks Unit (DBU) charges — vary by workload type (interactive, job, SQL)</li></ul><p id="""">Underlying cloud compute — billed through the host cloud provider (e.g., EC2, Azure VMs) Clusters without auto-termination continue to run — and generate cost — even if idle or abandoned.</p>","<ul id=""""><li id="""">Identify clusters that do not have auto-termination enabled</li><li id="""">Check for clusters with long idle times and no active workloads</li><li id="""">Analyze cost reports to detect charges from underutilized or inactive clusters</li><li id="""">Review workspace-level cluster policies and defaults to ensure consistent enforcement</li></ul>","<ul id=""""><li id="""">Enable auto-termination for all clusters that do not require persistent runtime</li><li id="""">Set cluster policies to require auto-termination configuration for new clusters</li><li id="""">Establish reasonable inactivity thresholds based on workload type (e.g., 30–60 minutes for interactive)</li><li id="""">Educate users on the financial impact of idle clusters and the role of auto-termination as a cost control mechanism</li></ul>",,FALSE,FALSE,,,,<p>Databricks-Compute-2210</p>
Missing Autoclass on GCS Bucket,missing-autoclass-on-gcs-bucket,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b46d1ac1e662f8052c4,FALSE,FALSE,Thu May 22 2025 14:57:10 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:51 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:51 GMT+0000 (Coordinated Universal Time),,gcp,gcp-gcs,inefficient-configuration,storage,"<p id="""">Buckets without Autoclass enabled can accumulate infrequently accessed data in more expensive storage classes, inflating monthly costs. Enabling Autoclass allows GCS to automatically move objects to lower-cost tiers based on observed access behavior, optimizing storage costs without manual lifecycle policy management. Activating Autoclass reduces operational overhead while maintaining seamless access to objects across storage classes.</p>","<p id="""">GCS charges for data stored based on the selected storage class. Standard, Nearline, and Coldline classes offer different pricing tiers optimized for access frequency. Without Autoclass, objects may remain in higher-cost tiers even when usage patterns change, leading to unnecessary storage expenses. Autoclass dynamically transitions objects between storage classes based on access frequency without impacting performance or requiring operational effort.</p>","<ul id=""""><li id="""">Identify GCS buckets where Autoclass is not enabled</li><li id="""">Review object access patterns to confirm a mix of frequently and infrequently accessed data</li><li id="""">Assess current storage class distribution to identify potential inefficiencies</li><li id="""">Evaluate whether manual lifecycle management policies exist or are absent</li><li id="""">Validate that enabling Autoclass aligns with data retention and compliance requirements</li></ul>","<p id="""">Enable Autoclass on eligible GCS buckets to automate storage class transitions based on real-time access patterns. Review and adjust any existing lifecycle rules to prevent conflicts. Note that once Autoclass is enabled, it cannot be disabled without recreating the bucket. Monitor storage cost trends after activation to verify expected savings and operational improvements.</p>","<ul id=""""><li id="""">Google Cloud Storage Autoclass Documentation</li><li id="""">Google Cloud Storage Pricing</li></ul>",FALSE,FALSE,,108,,<p>GCP-Storage-8607</p>
Missing Delta Optimization Features for High-Volume Tables,missing-delta-optimization-features-for-high-volume-tables,682077b786159f81bf47f152,682077b786159f81bf47f0b2,6858941a432e579dce524a39,FALSE,FALSE,Sun Jun 22 2025 23:39:06 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:54 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:54 GMT+0000 (Coordinated Universal Time),Scott Shulman,databricks,delta-lake,suboptimal-data-layout,storage,"<p id="""">In many Databricks environments, large Delta tables are created without enabling standard optimization features like partitioning and Z-Ordering. Without these, queries scanning large datasets may read far more data than necessary, increasing execution time and compute usage.  * <strong id="""">Partitioning</strong> organizes data by a specified column to reduce scan scope.   * <strong id="""">Z-Ordering</strong> optimizes file sorting to minimize I/O during range queries or filters.   * <strong id="""">Delta Format</strong> enables additional optimizations like data skipping and compaction.  Failing to use these features in high-volume tables often results in avoidable performance overhead and elevated spend, especially in environments with frequent exploratory queries or BI workloads.</p>","<p id="""">Databricks charges are based on DBUs (Databricks Units) per hour, which correlate directly with compute resource use. Query performance heavily impacts DBU consumption. Inefficient data layout leads to longer scan times, increased cluster runtime, and higher costs.</p>","<ul id=""""><li id="""">Tables lacking partitioning on commonly filtered columns</li><li id="""">Absence of Z-Ordering on high-selectivity columns (e.g., timestamps, IDs)</li><li id="""">Slow query performance tied to full-table scans</li><li id="""">High DBU usage by queries reading large volumes of data unnecessarily</li><li id="""">ETL pipelines writing to Delta tables without compaction or OPTIMIZE steps</li></ul>","<ul id=""""><li id="""">Apply partitioning when writing Delta tables, using columns commonly filtered in queries</li><li id="""">Enable Z-Ordering on appropriate columns to improve data skipping efficiency</li><li id="""">Use `OPTIMIZE` and `VACUUM` to reduce file fragmentation and improve query performance</li><li id="""">Standardize use of Delta Lake format in ETL pipelines</li><li id="""">Automate periodic optimizations for long-lived tables based on size or access patterns</li></ul>","<p id=""""><a href=""https://learn.microsoft.com/en-us/azure/databricks/delta/optimizations/file-management"" id="""">Optimize performance with file management</a><br><a href=""https://learn.microsoft.com/en-us/azure/databricks/delta/optimizations/optimization-examples"" id="""">Partitioning and Z-Ordering</a><br><a href=""https://learn.microsoft.com/en-us/azure/databricks/sql/language-manual/delta-optimize"" id="""">Databricks Delta Table OPTIMIZE Command</a></p>",FALSE,FALSE,,,,<p>Databricks-Storage-7131</p>
Missing Intelligent-Tiering on EFS Lifecycle Policy,missing-intelligent-tiering-on-efs-lifecycle-policy,682077b786159f81bf47f152,682077b786159f81bf47f0b2,685894155cb321668d618411,FALSE,FALSE,Sun Jun 22 2025 23:39:01 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:55 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:55 GMT+0000 (Coordinated Universal Time),Charles Haile,aws,aws-efs,suboptimal-lifecycle-configuration,storage,"<p id="""">EFS offers lifecycle policies that transition files from the Standard tier to Infrequent Access (IA) based on inactivity, significantly reducing storage costs for cold data. When this feature is not enabled, infrequently accessed files remain in the more expensive Standard tier indefinitely. This often occurs when the file system is initially provisioned for performance but long-term access patterns are not reevaluated.</p>","<p id="""">Billed per GB-month based on storage class (e.g., Standard, Infrequent Access); access and metadata requests may incur additional charges</p>","<ul id=""""><li id="""">Review if lifecycle management is disabled or not set to transition files after an appropriate period of inactivity</li><li id="""">Evaluate the proportion of files that are infrequently accessed yet stored in the Standard tier</li><li id="""">Check whether the file system is used by workloads with predictable cold data patterns (e.g., logs, archive, ML input files)</li><li id="""">Determine if storage costs are dominated by data that has not been accessed in weeks or months</li><li id="""">Confirm whether business requirements permit longer access latencies for cold data</li></ul>","<ul id=""""><li id="""">Enable EFS lifecycle management with a transition period (e.g., 7, 14, 30 days) aligned to actual data access patterns</li><li id="""">Monitor and periodically review access logs or file activity metrics to refine lifecycle timing</li><li id="""">If access latency is not a concern, consider more aggressive transitions to IA for archival-type data</li></ul>","<p id=""""><a href=""https://docs.aws.amazon.com/efs/latest/ug/lifecycle-management.html"" id="""">AWS EFS Lifecycle Management</a></p>",FALSE,FALSE,,,,<p>AWS-Storage-8760</p>
Missing Lifecycle Policy on Object Storage,missing-lifecycle-policy-on-object-storage,682077b786159f81bf47f152,682077b786159f81bf47f0b2,68589417023ce2946d297c23,FALSE,FALSE,Sun Jun 22 2025 23:39:03 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:55 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:55 GMT+0000 (Coordinated Universal Time),,oci,oci-object-storage,missing-cost-control-configuration,storage,"<p id="""">Without lifecycle policies, data in OCI Object Storage remains in the default storage tier indefinitely—even if it is rarely accessed. This can lead to growing costs from unneeded or rarely accessed data that could be expired or transitioned to lower-cost tiers like Archive Storage.</p>","<p id="""">Charged based on object storage tier and total GB stored per month.</p>","<ul id=""""><li id="""">Review buckets lacking lifecycle policies or where all objects remain in standard tier</li><li id="""">Analyze object creation timestamps and last access data (if available)</li><li id="""">Identify buckets used for logs, backups, or system exports where retention can be limited</li><li id="""">Check with teams to validate retention requirements for each bucket</li></ul>","<ul id=""""><li id="""">Create lifecycle rules to transition older objects to Archive Storage</li><li id="""">Set expiration policies for data older than required retention thresholds</li><li id="""">Standardize lifecycle policies across log or backup buckets</li></ul>","<p id=""""><a href=""https://docs.oracle.com/en-us/iaas/Content/Object/Tasks/usinglifecyclepolicies.htm"" id="""">Object Lifecycle Management</a></p>",FALSE,FALSE,,,,<p>OCI-Storage-1444</p>
Missing Lifecycle Policy on Replicated EFS File System,missing-lifecycle-policy-on-replicated-efs-file-system,682077b786159f81bf47f152,682077b786159f81bf47f0b2,68589415bc6b6874a484015d,FALSE,FALSE,Sun Jun 22 2025 23:39:01 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:52 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:52 GMT+0000 (Coordinated Universal Time),Charles Haile,aws,aws-efs,misconfiguration,storage,"<p id="""">When replicating an EFS file system across AWS regions (e.g., for disaster recovery), the destination file system does not automatically inherit the source’s lifecycle policy. As a result, files replicated to the destination will remain in the Standard storage class unless a new lifecycle policy is explicitly configured. Over time, this can lead to significantly higher storage costs, particularly in DR environments where data is rarely accessed but still replicated in full.</p>","<p id="""">EFS charges are based on the amount of data stored in each storage class (Standard and Infrequent Access). Transitioning infrequently accessed files to the IA tier reduces storage costs significantly. However, if a lifecycle policy is not applied, all files remain in the more expensive Standard tier, including on replicated file systems.</p>","<ul id=""""><li id="""">Review whether the destination EFS file system has a lifecycle policy applied following replication</li><li id="""">Determine if the destination file system contains large volumes of infrequently accessed or untouched data</li><li id="""">Evaluate whether the data in the DR region is being accessed regularly or retained only for redundancy purposes</li><li id="""">Confirm whether the storage class distribution (Standard vs. IA) is optimized for access patterns in the replicated environment</li><li id="""">Assess if lifecycle policies were applied manually post-replication or were omitted entirely</li></ul>","<ul id=""""><li id="""">Manually apply a lifecycle policy to the destination EFS file system after replication is configured</li><li id="""">Align the policy with the source file system or tune it based on expected access frequency in the DR region</li><li id="""">Periodically audit replicated EFS environments to ensure lifecycle policies remain in place as environments evolve</li></ul>","<p id=""""><a href=""https://docs.aws.amazon.com/efs/latest/ug/efs-replication.html"" id="""">Amazon EFS Replication Overview</a><br><a href=""https://docs.aws.amazon.com/efs/latest/ug/lifecycle-management-efs.html"" id="""">Amazon EFS Lifecycle Management</a></p>",FALSE,FALSE,,,,<p>AWS-Storage-7148</p>
Missing Performance Plus on Eligible Managed Disks,missing-performance-plus-on-eligible-managed-disks,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b48eea36dec99f431b4,FALSE,FALSE,Thu May 22 2025 14:57:12 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:50 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:50 GMT+0000 (Coordinated Universal Time),Balazs Engedi,azure,azure-managed-disks,misconfiguration,storage,"<p id="""">For Premium SSD and Standard SSD disks 513 GiB or larger, Azure now offers the option to enable Performance Plus — unlocking higher IOPS and MBps at no extra cost. Many environments that previously required custom performance settings continue to pay for additional throughput unnecessarily. By not enabling Performance Plus on eligible disks, organizations miss a straightforward opportunity to reduce disk spend while maintaining or improving performance. The feature is opt-in and must be explicitly enabled on each qualifying disk.</p>","<p id="""">Azure Managed Disks are billed based on:</p><ul id=""""><li id="""">Provisioned disk size (GB/month)</li><li id="""">Disk type (e.g., Premium SSD, Standard SSD, Ultra)</li><li id="""">Additional performance settings, if configured manually</li></ul><p id="""">Performance Plus allows eligible disks to receive enhanced performance without incurring additional costs, potentially replacing paid performance upgrades.</p>","<ul id=""""><li id="""">Identify disks ≥ 513 GiB that have manually configured additional IOPS or throughput</li><li id="""">Check for disks operating near IOPS or MBps limits that are eligible for Performance Plus</li><li id="""">Review whether Performance Plus has been enabled on qualifying Premium SSD or Standard SSD disks</li><li id="""">Cross-reference against workloads with high sustained disk usage to prioritize impact</li></ul>","<ul id=""""><li id="""">Enable Performance Plus on all eligible disks using Azure CLI, API, or portal</li><li id="""">Decommission paid performance tiers or custom throughput settings where Performance Plus provides equivalent capability</li><li id="""">Incorporate Performance Plus enablement into provisioning templates for large disks going forward</li></ul>","<p id=""""><a href=""https://learn.microsoft.com/en-us/azure/virtual-machines/disks-enable-performance?tabs=azure-cli"" id="""">Enable Performance Plus on Azure Disks</a></p>",FALSE,FALSE,,,,<p>Azure-Storage-9649</p>
Missing Reserved PTUs for Steady-State Azure OpenAI Workloads,missing-reserved-ptus-for-steady-state-azure-openai-workloads-f78d4,682077b786159f81bf47f152,682077b786159f81bf47f0b2,693e80e0de027536abae03d1,FALSE,FALSE,Sun Dec 14 2025 09:18:24 GMT+0000 (Coordinated Universal Time),Mon Dec 15 2025 14:31:16 GMT+0000 (Coordinated Universal Time),Mon Dec 15 2025 14:48:50 GMT+0000 (Coordinated Universal Time),Ariel Lichterman,azure,azure-cognitive-services,unoptimized-pricing-model,ai,"<p id="""">Many production Azure OpenAI workloads—such as chatbots, inference services, and retrieval-augmented generation (RAG) pipelines—use PTUs consistently throughout the day. When usage stabilizes after initial experimentation, continuing to rely on on-demand PTUs results in ongoing unnecessary spend. These workloads are strong candidates for reserved PTUs, which provide identical performance guarantees at a substantially reduced hourly rate. Migrating to reservations usually requires no architectural changes and delivers immediate cost savings.</p>","<p id="""">PTUs are billed hourly based on provisioned throughput. On-demand PTUs use standard hourly rates, whereas reserved PTUs offer significant discounts—often up to \~80%—when capacity is committed for a month or year. Workloads running continuously on on-demand PTUs incur avoidable premium pricing.</p>","<ul id=""""><li id="""">Review PTU deployments supporting production workloads that operate continuously throughout the day</li><li id="""">Assess whether throughput demand remains stable enough to justify reserved capacity</li><li id="""">Identify deployments that have moved beyond experimentation but still use on-demand PTUs</li><li id="""">Evaluate the cost difference between on-demand PTUs and reserved PTUs for these workloads</li></ul>","<ul id=""""><li id="""">Purchase monthly or annual reserved PTUs for workloads with sustained, predictable throughput needs</li><li id="""">Establish governance criteria defining when production PTU deployments should transition to reservations</li><li id="""">Periodically reassess workload stability to ensure PTU reservation commitments remain aligned with demand</li><li id="""">Use cost modeling to evaluate reservation options as part of production readiness reviews</li></ul>","<ul id=""""><li id=""""><a href=""https://learn.microsoft.com/en-us/azure/ai-services/openai/how-to/provisioned-throughput"" id="""">https://learn.microsoft.com/en-us/azure/ai-services/openai/how-to/provisioned-throughput</a></li></ul>",FALSE,FALSE,,,,Azure-AI-2318
Missing S3 Gateway Endpoint for Intra-Region EC2 Access,missing-s3-gateway-endpoint-for-intra-region-ec2-access,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b4c3e6867b416ecb52a,FALSE,FALSE,Thu May 22 2025 14:57:16 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:53 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:53 GMT+0000 (Coordinated Universal Time),Mike Graff,aws,aws-s3,inefficient-configuration,storage,"<p id="""">  When EC2 instances within a VPC access Amazon S3 in the same region without a Gateway VPC Endpoint, traffic is routed through the public S3 endpoint and incurs standard internet egress charges — even though it remains within the AWS network. This results in unnecessary egress charges, as AWS treats this traffic as data transfer out to the internet, billed under the S3 service.</p><p id="""">By contrast, provisioning a Gateway Endpoint for S3 allows traffic between EC2 and S3 to flow over the AWS private backbone at no additional cost. This configuration is especially important for data-intensive applications, such as analytics jobs, backups, or frequent uploads/downloads, where the cumulative data transfer can be substantial.</p><p id="""">Because the egress cost is billed under S3, it is often misattributed or overlooked during EC2 or networking reviews, leading to silent overspend.</p>","<ul id=""""><li id="""">S3 charges for <strong id="""">data transfer out to the internet</strong>, even for intra-region transfers, <strong id="""">unless</strong> a Gateway VPC Endpoint is used</li><li id=""""><strong id="""">Data transfers from S3 to EC2 in the same region</strong>, without a Gateway Endpoint, are billed as <strong id="""">internet egress</strong></li><li id="""">The cost appears on the bill under <strong id="""">Amazon S3</strong> as <strong id="""">Data Transfer Out</strong>, despite EC2 initiating the request</li><li id="""">Gateway VPC Endpoints for S3 are <strong id="""">free to use</strong> and avoid these egress charges</li></ul>","<ul id=""""><li id="""">Identify environments with significant S3 data transfer out costs in the billing report</li><li id="""">Review whether EC2 instances in the same region are reading from or writing to S3 buckets</li><li id="""">Evaluate whether a Gateway VPC Endpoint for S3 is provisioned in the relevant VPCs</li><li id="""">Determine whether the absence of the endpoint is contributing to avoidable egress charges</li><li id="""">Check if the traffic pattern is internal (e.g., S3-to-EC2 backup jobs or intra-app data movement)</li></ul>","<ul id=""""><li id="""">Deploy a Gateway VPC Endpoint for S3 in VPCs that generate large intra-region S3 traffic</li><li id="""">Update route tables and access policies to route S3 traffic through the endpoint</li><li id="""">Validate that EC2-to-S3 traffic is using the private path and no longer incurring egress charges</li><li id="""">  Incorporate Gateway Endpoint provisioning into default network infrastructure templates</li></ul>","<ul id=""""><li id=""""><a href=""https://docs.aws.amazon.com/vpc/latest/privatelink/gateway-endpoints.html"" id="""">Gateway Endpoints for Amazon S3</a></li><li id=""""><a href=""https://aws.amazon.com/s3/pricing/"" id="""">Amazon S3 Pricing</a></li></ul>",FALSE,FALSE,,,,<p>AWS-Storage-8077</p>
Missing S3 Lifecycle Policy for Incomplete Multipart Uploads,missing-s3-lifecycle-policy-for-incomplete-multipart-uploads,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b43a7a888da77b07b4a,FALSE,FALSE,Thu May 22 2025 14:57:07 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:49 GMT+0000 (Coordinated Universal Time),,aws,aws-s3,inefficient-configuration,storage,"<p id="""">Multipart upload allows large files to be uploaded in segments. Each part is stored individually until the upload is finalized by a “CompleteMultipartUpload” request. If this final request is never issued—due to a timeout, crash, failed job, or misconfiguration—the parts remain stored but are effectively useless: they do not form a valid object and cannot be retrieved. Without a lifecycle policy in place to clean up these incomplete uploads, the orphaned parts persist and continue to incur storage charges indefinitely.</p>","<p id="""">S3 charges per GB-month for all stored data, including partial object data from incomplete multipart uploads. These parts are billed as standard storage and remain in the bucket unless explicitly removed—either manually or via a lifecycle policy.</p>","<ul id=""""><li id="""">Identify S3 buckets that are used for large file uploads or automation-driven data ingestion</li><li id="""">Review whether an S3 Lifecycle rule exists to abort incomplete multipart uploads</li><li id="""">Consult with application owners or platform teams to confirm upload workflows and fault tolerance</li></ul>","<p id="""">Define an S3 Lifecycle rule to automatically abort incomplete multipart uploads after a specified number of days (e.g., 7 days). This ensures that leftover parts are cleaned up and do not persist indefinitely. Include this rule as a default in all buckets handling large object uploads or automation-driven data pipelines.</p>","<ul id=""""><li id=""""><a href=""https://docs.aws.amazon.com/AmazonS3/latest/userguide/mpuoverview.html\&quot;"" id="""">S3 Multipart Upload Overview</a></li><li id=""""><a href=""https://docs.aws.amazon.com/AmazonS3/latest/userguide/mpu-abort-incomplete-mpu-lifecycle-config.html\"" id="""">Managing Incomplete Multipart Uploads Using Lifecycle Configuration</a></li></ul>",FALSE,FALSE,,16,,<p>AWS-Storage-3133</p>
Missing Scheduled Shutdown for Non-Production Azure Virtual Machines,missing-scheduled-shutdown-for-non-production-azure-virtual-machines,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b49d757428dc24f12f8,FALSE,FALSE,Thu May 22 2025 14:57:13 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:52 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:52 GMT+0000 (Coordinated Universal Time),Yulia Perlis,azure,azure-virtual-machines,inefficient-configuration,compute,"<p id="""">Non-production Azure VMs are frequently left running during off-hours despite being used only during business hours. When these instances remain active overnight or on weekends, they generate unnecessary compute spend. Azure offers built-in auto-shutdown features that allow teams to define daily stop times, retaining disk data and configurations without paying for VM runtime. Implementing scheduled shutdowns in dev/test environments is a simple, low-risk optimization that can reduce compute costs by 30–60%.</p>","<p id="""">Azure VMs are billed per second, with a minimum of one minute, based on:</p><ul id=""""><li id="""">VM size and type</li><li id="""">Operating system and licensing</li><li id="""">Runtime duration</li></ul><p id="""">Note: Storage (managed disks) continues to incur charges even when the VM is stopped.</p>","<ul id=""""><li id="""">Identify VMs labeled or tagged as dev/test/staging</li><li id="""">Use Azure Monitor or Cost Management to assess usage and uptime patterns</li><li id="""">Detect VMs with consistent business-hours usage but 24/7 runtime</li><li id="""">Review VM configuration to check whether auto-shutdown is enabled</li></ul>","<ul id=""""><li id="""">Enable Azure’s built-in auto-shutdown setting for applicable non-prod VMs</li><li id="""">Alternatively, configure shutdown/start schedules using Azure Automation or Logic Apps</li><li id="""">Preserve state using managed disks, snapshots, or generalized images</li><li id="""">Review schedules periodically to align with changing team usage</li></ul>",,FALSE,FALSE,,,,<p>Azure-Compute-5903</p>
Missing Scheduled Shutdown for Non-Production Compute Engine Instances,missing-scheduled-shutdown-for-non-production-compute-engine-instances,682077b786159f81bf47f152,682077b786159f81bf47f0b2,682f3b49b6006ad5b82dd3fe,FALSE,FALSE,Thu May 22 2025 14:57:13 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:50 GMT+0000 (Coordinated Universal Time),Sun Dec 14 2025 10:45:50 GMT+0000 (Coordinated Universal Time),Yulia Perlis,gcp,gcp-compute-engine,inefficient-configuration,compute,"<p id="""">Development and test environments on Compute Engine are commonly provisioned and left running around the clock, even if only used during business hours. This results in wasteful spend on compute time that could be eliminated by scheduling shutdowns during idle periods. GCP enables scheduling via native tools such as Cloud Scheduler, Cloud Functions, or Terraform automation. Stopping VMs during off-hours preserves boot disks and instance metadata while halting compute billing.</p>","<p id="""">Compute Engine instances are billed per second (minimum of one minute) based on:</p><ul id=""""><li id="""">Instance type and configuration</li><li id="""">Runtime duration</li><li id="""">Additional resources (e.g., persistent disks, external IPs) are billed separately</li></ul>","<ul id=""""><li id="""">Identify VMs in dev/test environments using labels, folders, or project naming conventions</li><li id="""">Analyze instance uptime using Cloud Monitoring or billing export data</li><li id="""">Detect instances with consistent 9-to-5 usage but continuous runtime</li><li id="""">Check whether startup/shutdown schedules are already in place</li></ul>","<ul id=""""><li id="""">Use Cloud Scheduler and Cloud Functions to automate VM stop/start workflows</li><li id="""">Preserve instance configuration and state using persistent disks or custom images</li><li id="""">Align schedules to working hours and review regularly with workload owners</li><li id="""">Consider integrating automation with CI/CD tools or environment provisioning scripts</li></ul>","<ul id=""""><li id=""""><a href=""https://cloud.google.com/compute/docs/instances/schedule-instance-start-stop\&quot;"" id="""">Schedule Compute Engine VM Start and Stop</a></li><li id=""""><a href=""https://cloud.google.com/compute/docs/instances\"" id="""">Managing VM Instances</a></li></ul>",FALSE,FALSE,,,,<p>GCP-Compute-5966</p>
